date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:54:29	2375/2375	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Sep%202022%2003:54:30%20GMT	https://app.axieinfinity.com/robots.txt		(from )
00:54:30	27124/27124	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Sep%202022%2003:54:30%20GMT	https://app.axieinfinity.com/marketplace/	C:/Mis%20lugares%20Web/mmmmmm/app.axieinfinity.com/marketplace/index.html	(from )
00:55:04	142062/142062	---M--	200	added ('OK')	image/png	etag:%220ef807ca6f47120b566308bb3b952593%22	https://storage.googleapis.com/axie-cdn/banner.png	C:/Mis%20lugares%20Web/mmmmmm/storage.googleapis.com/axie-cdn/banner.png	(from https://app.axieinfinity.com/marketplace/)
00:55:04	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Sep%202022%2003:55:06%20GMT	https://fonts.googleapis.com/	C:/Mis%20lugares%20Web/mmmmmm/fonts.googleapis.com/index.html	(from https://app.axieinfinity.com/marketplace/)
00:55:05	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Sep%202022%2003:55:06%20GMT	https://fonts.gstatic.com/	C:/Mis%20lugares%20Web/mmmmmm/fonts.gstatic.com/index.html	(from https://app.axieinfinity.com/marketplace/)
00:55:05	898674/898674	---MCZ	200	added ('OK')	text/css	etag:W/%22ed6389057bf10ee2022d02251dc64b9b%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/css/9cc5bd24800f8399_vtVjNyOtYjRWQfRpWRp_A.css	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/css/9cc5bd24800f8399_vtVjNyOtYjRWQfRpWRp_A.css	(from https://app.axieinfinity.com/marketplace/)
00:55:05	22106/22106	---MCZ	200	added ('OK')	text/css	etag:W/%22b38150fa8c1685eb705833e9e931e974%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/css/18a217a744cd099c_vtVjNyOtYjRWQfRpWRp_A.css	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/css/18a217a744cd099c_vtVjNyOtYjRWQfRpWRp_A.css	(from https://app.axieinfinity.com/marketplace/)
00:55:05	48635/48635	---MCZ	200	added ('OK')	text/css	etag:W/%22f384c02d758e5993e7c109799b736a65%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/css/3acec3d0bde340cc_vtVjNyOtYjRWQfRpWRp_A.css	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/css/3acec3d0bde340cc_vtVjNyOtYjRWQfRpWRp_A.css	(from https://app.axieinfinity.com/marketplace/)
00:55:06	10249/10249	---MCZ	200	added ('OK')	text/css	etag:W/%2244bb4186994816a983bf2bc3f3722fd8%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/css/89f9bf863dc331fb_vtVjNyOtYjRWQfRpWRp_A.css	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/css/89f9bf863dc331fb_vtVjNyOtYjRWQfRpWRp_A.css	(from https://app.axieinfinity.com/marketplace/)
00:55:06	91432/91432	---MCZ	200	added ('OK')	text/javascript	etag:W/%2299442aec5788bccac9b2f0ead2afdd6b%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://app.axieinfinity.com/marketplace/)
00:55:06	6449/6449	---MCZ	200	added ('OK')	text/javascript	etag:W/%223b7d57049c7ca3d21e11c34f222daa20%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/webpack-a7abef030577ad8b.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/webpack-a7abef030577ad8b.js	(from https://app.axieinfinity.com/marketplace/)
00:55:06	149066/149066	---MCZ	200	added ('OK')	text/javascript	etag:W/%2253d0424ad91d117eece1fefa5fea110d%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/framework-74755b63994040ec.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/framework-74755b63994040ec.js	(from https://app.axieinfinity.com/marketplace/)
00:55:07	102569/102569	---MCZ	200	added ('OK')	text/javascript	etag:W/%22e98cbed4898e8ab0a07d4442743fc1b1%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/main-8feedc56cc1e0d1e.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/main-8feedc56cc1e0d1e.js	(from https://app.axieinfinity.com/marketplace/)
00:55:07	50274/50274	---MCZ	200	added ('OK')	text/javascript	etag:W/%221c891a99d6f2463016c5fdc1957877e8%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/94726e6d-500c6180c3a824a4.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/94726e6d-500c6180c3a824a4.js	(from https://app.axieinfinity.com/marketplace/)
00:55:07	1950366/1950366	---MCZ	200	added ('OK')	text/javascript	etag:W/%225a4ac131129c47a6dab8b7fadea92489%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/ae42c805-6747cc608eec1ced.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/ae42c805-6747cc608eec1ced.js	(from https://app.axieinfinity.com/marketplace/)
00:55:08	6685802/6685802	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c46b2322c193b2f70ab1dd45fb983088%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/pages/_app-e85574bf84a00ba5.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/pages/_app-e85574bf84a00ba5.js	(from https://app.axieinfinity.com/marketplace/)
00:55:08	125870/125870	---MCZ	200	added ('OK')	text/javascript	etag:W/%220b73770b1df82743b7eff1d9a153fe20%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/3025-547d13abe8475cdb.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/3025-547d13abe8475cdb.js	(from https://app.axieinfinity.com/marketplace/)
00:55:08	1427512/1427512	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d1fe1311519c2ebc0a105d7d912410b1%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/05c932f0-1a95e635490d6daa.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/05c932f0-1a95e635490d6daa.js	(from https://app.axieinfinity.com/marketplace/)
00:55:08	76994/76994	---MCZ	200	added ('OK')	text/javascript	etag:W/%2276b8097d2431d9e783dd77eae19a4846%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/5668-3c6cdb7a2dd6e146.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/5668-3c6cdb7a2dd6e146.js	(from https://app.axieinfinity.com/marketplace/)
00:55:09	7635/7635	---MCZ	200	added ('OK')	text/javascript	etag:W/%22ce99ffdb91e645075cac191ee9a9daab%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/5152-2142cdcea1b6f923.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/5152-2142cdcea1b6f923.js	(from https://app.axieinfinity.com/marketplace/)
00:55:09	12940/12940	---MCZ	200	added ('OK')	text/javascript	etag:W/%22497149c77d1bc5aa8e132a4b81bd7668%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/9089-7de711647df97de2.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/9089-7de711647df97de2.js	(from https://app.axieinfinity.com/marketplace/)
00:55:09	239943/239943	---MCZ	200	added ('OK')	text/javascript	etag:W/%22ab69e84b7b632a69f9b6a24f9091fa33%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/1834-fc98ddab750f9e61.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/1834-fc98ddab750f9e61.js	(from https://app.axieinfinity.com/marketplace/)
00:55:09	26309/26309	---MCZ	200	added ('OK')	text/javascript	etag:W/%220dfd05da5b9e8477c4279c59a76dd512%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/7143-f0f6fbffcf93a426.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/7143-f0f6fbffcf93a426.js	(from https://app.axieinfinity.com/marketplace/)
00:55:10	21173/21173	---MCZ	200	added ('OK')	text/javascript	etag:W/%220992c836d339cbbc890b4818e04dd57c%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/5050-f6d0c74b2364569a.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/5050-f6d0c74b2364569a.js	(from https://app.axieinfinity.com/marketplace/)
00:55:10	3611/3611	---MCZ	200	added ('OK')	text/javascript	etag:W/%22edc53202ac44e291284868a08f2dc36b%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/4460-9eb8bab58c1d9d0a.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/4460-9eb8bab58c1d9d0a.js	(from https://app.axieinfinity.com/marketplace/)
00:55:10	123708/123708	---MCZ	200	added ('OK')	text/javascript	etag:W/%229ea528e37bb67ff5b6f9340fbe64720c%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/7126-38bf46638f87fe1f.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/7126-38bf46638f87fe1f.js	(from https://app.axieinfinity.com/marketplace/)
00:55:10	42775/42775	---MCZ	200	added ('OK')	text/javascript	etag:W/%2282e6b68134212892070eace34b2bcacd%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/4314-b61480f9e83a0018.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/4314-b61480f9e83a0018.js	(from https://app.axieinfinity.com/marketplace/)
00:55:10	10691/10691	---MCZ	200	added ('OK')	text/javascript	etag:W/%227ed11959e6a3eaf38df40f44b6b47d99%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/6523-ff270b7e8b2fc5b9.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/6523-ff270b7e8b2fc5b9.js	(from https://app.axieinfinity.com/marketplace/)
00:55:11	52259/52259	---MCZ	200	added ('OK')	text/javascript	etag:W/%22bfaed2ab2c39483c592f4c11e17014f9%22	https://cdn.axieinfinity.com/marketplace-website/_next/static/chunks/6036-7c30141ebd535898.js	C:/Mis%20lugares%20Web/mmmmmm/cdn.axieinfinity.com/marketplace-website/_next/static/chunks/6036-7c30141ebd535898.js	(from https://app.axieinfinity.com/marketplace/)
